Expression	Value	Location	Type	
[54]	'g' (0x67)	0x0000A0	char	
[55]	',' (0x2C)	0x0000A1	char	
[56]	' ' (0x20)	0x0000A2	char	
[57]	't' (0x74)	0x0000A3	char	
[58]	'h' (0x68)	0x0000A4	char	
[59]	'a' (0x61)	0x0000A5	char	
[60]	'y' (0x79)	0x0000A6	char	
[61]	' ' (0x20)	0x0000A7	char	
[62]	'l' (0x6C)	0x0000A8	char	
[63]	'o' (0x6F)	0x0000A9	char	
[64]	'i' (0x69)	0x0000AA	char	
[65]	' ' (0x20)	0x0000AB	char	
[66]	'l' (0x6C)	0x0000AC	char	
[67]	'o' (0x6F)	0x0000AD	char	
[68]	'c' (0x63)	0x0000AE	char	
[69]	'\r' (0x0D)	0x0000AF	char	
[70]	'\n' (0x0A)	0x0000B0	char	
[71]	'+' (0x2B)	0x0000B1	char	
[72]	'C' (0x43)	0x0000B2	char	
[73]	'M' (0x4D)	0x0000B3	char	
[74]	'G' (0x47)	0x0000B4	char	
[75]	'S' (0x53)	0x0000B5	char	
[76]	':' (0x3A)	0x0000B6	char	
[77]	' ' (0x20)	0x0000B7	char	
[78]	'3' (0x33)	0x0000B8	char	
[79]	'7' (0x37)	0x0000B9	char	
[80]	'\r' (0x0D)	0x0000BA	char	
[81]	'\n' (0x0A)	0x0000BB	char	
[82]	'\r' (0x0D)	0x0000BC	char	
